folder_name	file_fastq	file_bam	RGID	RGLB	RGPL	RGSM	RGDS1	RGDS2	RGPU
3edf6b8e-9347-48ad-9946-4d9eb65a7e4c	E7.12.860.fastq.gz	E7.12.860.step1.Aligned.sortedByCoord.out.bam	E7.12.860	E7.12.860	illumina	E7.12	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L4
920d568d-ea86-429c-b177-156a00f86c98	E7.8.314.fastq.gz	E7.8.314.step1.Aligned.sortedByCoord.out.bam	E7.8.314	E7.8.314	illumina	E7.8	Smart-seq2	embryonic-cell-metazoa	Run0224_AC3JF3ACXX_L4
ff10d6be-9589-41da-8134-8da32cceb470	E5.16.1915.fastq.gz	E5.16.1915.step1.Aligned.sortedByCoord.out.bam	E5.16.1915	E5.16.1915	illumina	E5.16	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L7
ec4788ee-4f79-4303-96ca-dbbb4b23a00e	E7.4.200.fastq.gz	E7.4.200.step1.Aligned.sortedByCoord.out.bam	E7.4.200	E7.4.200	illumina	E7.4	Smart-seq2	embryonic-cell-metazoa	Run0221_BC3H8JACXX_L6
bb080503-b575-4ede-a08c-38f3f0451645	E4.1.4.fastq.gz	E4.1.4.step1.Aligned.sortedByCoord.out.bam	E4.1.4	E4.1.4	illumina	E4.1	Smart-seq2	embryonic-cell-metazoa	Run0202_AC2KPCACXX_L5
dfe47e91-dfad-4801-9062-b755f3182f23	E7.7.302.fastq.gz	E7.7.302.step1.Aligned.sortedByCoord.out.bam	E7.7.302	E7.7.302	illumina	E7.7	Smart-seq2	embryonic-cell-metazoa	Run0224_AC3JF3ACXX_L4
8d3d33ba-0d44-4c6c-856b-c75f933a1072	E4.3.489.fastq.gz	E4.3.489.step1.Aligned.sortedByCoord.out.bam	E4.3.489	E4.3.489	illumina	E4.3	Smart-seq2	embryonic-cell-metazoa	Run0231_AC3NBVACXX_L6
68103454-89d1-414d-982a-f06d254bf38e	E7.6.259.fastq.gz	E7.6.259.step1.Aligned.sortedByCoord.out.bam	E7.6.259	E7.6.259	illumina	E7.6	Smart-seq2	embryonic-cell-metazoa	Run0223_BC3JDHACXX_L1
3897cfe1-4231-4be0-8571-a15310e1be3c	E5.9.930.fastq.gz	E5.9.930.step1.Aligned.sortedByCoord.out.bam	E5.9.930	E5.9.930	illumina	E5.9	Smart-seq2	inner-cell-mass-cell	Run0247_BC4972ACXX_L7
99dfa7cf-ed3a-4ba9-a460-296b87abc2a1	E5.14.1783.fastq.gz	E5.14.1783.step1.Aligned.sortedByCoord.out.bam	E5.14.1783	E5.14.1783	illumina	E5.14	Smart-seq2	embryonic-cell-metazoa	Run0256_AC53WMACXX_L8
007729b6-ac3a-4a9d-a481-c592a1a9a20e	E7.16.1115.fastq.gz	E7.16.1115.step1.Aligned.sortedByCoord.out.bam	E7.16.1115	E7.16.1115	illumina	E7.16	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L7
3f968d9c-458d-46c8-92ff-71129fd686ce	E6.8.821.fastq.gz	E6.8.821.step1.Aligned.sortedByCoord.out.bam	E6.8.821	E6.8.821	illumina	E6.8	Smart-seq2	embryonic-cell-metazoa	Run0247_BC4972ACXX_L3
3cf52a75-671a-4681-b6ea-058fe7c6c1fb	E6.14.1419.fastq.gz	E6.14.1419.step1.Aligned.sortedByCoord.out.bam	E6.14.1419	E6.14.1419	illumina	E6.14	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L4
1f41c941-5876-4851-8d52-9f206959587e	E5.7.698.fastq.gz	E5.7.698.step1.Aligned.sortedByCoord.out.bam	E5.7.698	E5.7.698	illumina	E5.7	Smart-seq2	embryonic-cell-metazoa	Run0246_AC48UDACXX_L4
2c4f76a6-c5ca-4cb4-9d98-eccecb2f71ee	E6.17.1617.fastq.gz	E6.17.1617.step1.Aligned.sortedByCoord.out.bam	E6.17.1617	E6.17.1617	illumina	E6.17	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L8
bf4fd8a3-dde4-4077-b1f0-73c41d2aea3e	E7.6.273.fastq.gz	E7.6.273.step1.Aligned.sortedByCoord.out.bam	E7.6.273	E7.6.273	illumina	E7.6	Smart-seq2	embryonic-cell-metazoa	Run0224_AC3JF3ACXX_L1
c2a6c04a-4437-4fdf-95e2-7a3e7754d759	E4.8.1183.fastq.gz	E4.8.1183.step1.Aligned.sortedByCoord.out.bam	E4.8.1183	E4.8.1183	illumina	E4.8	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L5
1213adb8-de3b-44e6-b513-f56532d62e6b	E6.8.810.fastq.gz	E6.8.810.step1.Aligned.sortedByCoord.out.bam	E6.8.810	E6.8.810	illumina	E6.8	Smart-seq2	embryonic-cell-metazoa	Run0247_BC4972ACXX_L2
361f414a-741c-4210-94a4-a76966e00755	E6.15.1455.fastq.gz	E6.15.1455.step1.Aligned.sortedByCoord.out.bam	E6.15.1455	E6.15.1455	illumina	E6.15	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L4
a038f508-74aa-4426-88aa-358482251a22	E6.14.1414.fastq.gz	E6.14.1414.step1.Aligned.sortedByCoord.out.bam	E6.14.1414	E6.14.1414	illumina	E6.14	Smart-seq2	embryonic-cell-metazoa	Run0253_BC4H6AACXX_L3
393bb1e1-64bd-43a6-a009-e34e1b5097f3	E6.22.1852.fastq.gz	E6.22.1852.step1.Aligned.sortedByCoord.out.bam	E6.22.1852	E6.22.1852	illumina	E6.22	Smart-seq2	embryonic-cell-metazoa	Run0257_BC53U3ACXX_L3
89ae9c7b-01fa-4840-ba1b-ff5c20a5d3cb	E4.6.609.fastq.gz	E4.6.609.step1.Aligned.sortedByCoord.out.bam	E4.6.609	E4.6.609	illumina	E4.6	Smart-seq2	embryonic-cell-metazoa	Run0232_AC3NWRACXX_L7
3a101f88-a899-41c2-8d56-7d1cc5359e92	E4.9.1212.fastq.gz	E4.9.1212.step1.Aligned.sortedByCoord.out.bam	E4.9.1212	E4.9.1212	illumina	E4.9	Smart-seq2	embryonic-cell-metazoa	Run0248_AC4D43ACXX_L7
