folder_name	RGID	RGLB	RGPL	RGDS1	RGDS2	RGSM	RGPU
e63532bb-6658-46f7-b1c0-e0543ba7795b	SRR11798395	SRR11798395_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD023N	NS500624:148:HVN2MBGX2:1
b9ece28c-7c56-4d60-b580-32f371ecf591	SRR11798453	SRR11798453_LB	ILLUMINA	10X3v2	NextSeq500	ND15656_ALI	NB502093:33:H32JKBGX5:3
20fb0c8b-9fe7-49ac-8dd1-9c52f1e9a614	SRR11798292	SRR11798292_LB	ILLUMINA	10X3v3	NovaSeq6000	cc02p	A00454:145:HL2N2DMXX:2
60bd1179-bcae-43d8-a6e0-b3c87ac9db34	SRR11798411	SRR11798411_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:1
c398c7db-ec18-4914-90bd-6d6fd5d2ec3a	SRR11798316	SRR11798316_LB	ILLUMINA	10X3v2	NovaSeq6000	dd39p	NS500624:159:H2H35BGX3:2
63ab90e2-3384-4f4a-a23c-ab65081f177a	SRR11798478	SRR11798478_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_9	K00208:YBP040:1
b644ab04-8885-46ab-9f6f-9dd88a64ea75	SRR11798475	SRR11798475_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_2	K00208:YAP056:1
177824c0-c1ac-4926-b447-d9b1fce054bb	SRR11798435	SRR11798435_LB	ILLUMINA	10X3v2	NextSeq500	ND16737	NB502093:40:HFKT3BGX9:1
9179187c-effe-457f-a1a6-acce4bcc1d65	SRR11798473	SRR11798473_LB	ILLUMINA	10X3v2	NextSeq500	ND16932_ALI	NB502093:54:HC2KNBGXB:3
321c92cf-f177-43ad-aab5-f9197ffcb96b	SRR11798487	SRR11798487_LB	ILLUMINA	Drop-seq	HiSeq4000	BG9_23	K00208:YBP053:2
d8d508c5-ffd4-42ec-bc8d-1373165eded4	SRR11798422	SRR11798422_LB	ILLUMINA	10X3v2	NovaSeq6000	KKD024N	NS500624:148:HVN2MBGX2:1
